Game,Spread,EGO,Spread Target,Pick,Result
NYG @ PHI,PHI at -5.0,PHI wins by 3.51,Too Close To Call,,Correct
BUF @ NYJ,BUF at -10.0,BUF wins by 3.68,NYJ (at +5.5 or better),NYJ,Correct
CAR @ NO,NO at -6.5,NO wins by 7.87,Too Close To Call,,Incorrect
CLE @ CIN,CLE at -3.5,CIN wins by 0.04,CIN (at +1.5 or better),CIN,Correct
DAL @ WAS,WAS at -1.0,WAS wins by 0.48,Too Close To Call,,Incorrect
DET @ ATL,ATL at -1.5,ATL wins by 1.56,Too Close To Call,,Incorrect
GB @ HOU,GB at -3.0,HOU wins by 1.08,HOU (at +0.5 or better),HOU,Incorrect
PIT @ TEN,TEN at -1.0,TEN wins by 0.3,Too Close To Call,,Correct
TB @ LV,TB at -4.0,TB wins by 4.0,Too Close To Call,,Incorrect
JAX @ LAC,LAC at -7.5,LAC wins by 5.2,JAX (at +7.0 or better),JAX,Incorrect
KC @ DEN,KC at -7.0,KC wins by 5.15,DEN (at +7.0 or better),DEN,Incorrect
SF @ NE,NE at -3.0,NE wins by 0.55,SF (at +2.5 or better),SF,Correct
SEA @ ARI,SEA at -3.5,ARI wins by 0.46,ARI (at +1.5 or better),ARI,Correct
CHI @ LAR,LAR at -6.0,LAR wins by 4.59,Too Close To Call,,Incorrect
