Game,Spread,EGO,Spread Target,Pick,Result
IND @ TEN,IND at -4.0,TEN wins by 1.17,Missing Something ...,,Correct
CIN @ PIT,PIT at -8.0,PIT wins by 11.94,PIT (at -10.5 or better),PIT,Correct
CLE @ BUF,Pick em Game,CLE wins by 4.02,Missing Something ...,,Incorrect
OAK @ JAC,JAC at -3.5,JAC wins by 1.3,OAK (at +2.5 or better),OAK,Incorrect
ATL @ CAR,ATL at -7.5,ATL wins by 10.47,ATL (at -9.0 or better),ATL,Correct
GB @ DET,GB at -7.0,GB wins by 6.53,Too Close To Call,,Correct
TB @ WAS,TB at -1.5,TB wins by 2.19,Too Close To Call,,Incorrect
SEA @ SF,SF at -5.0,SF wins by 8.54,SF (at -7.0 or better),SF,Correct
STL @ NO,NO at -9.0,NO wins by 7.55,STL (at +9.0 or better),STL,Incorrect
DEN @ ARI,DEN at -4.0,DEN wins by 5.33,DEN (at -4.0 or better),DEN,Incorrect
KC @ SD,SD at -10.0,SD wins by 5.73,Missing Something ...,,Incorrect
MIA @ NYJ,NYJ at -5.5,NYJ wins by 1.15,Missing Something ...,,Correct
NE @ CHI,NE at -3.0,NE wins by 5.66,NE (at -4.5 or better),NE,Correct
PHI @ DAL,PHI at -4.0,PHI wins by 8.32,Missing Something ...,,Incorrect
NYG @ MIN,NYG at -5.5,NYG wins by 4.87,Too Close To Call,,Incorrect
BAL @ HOU,BAL at -3.0,BAL wins by 2.03,Too Close To Call,,Incorrect
