Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2020,ATL,MIN,6,Sun,1:00PM,0,-1.7%,1.5,17,18.5,-3.1,-2.9,-1.4,19.9,Too Close To Call,0,,-1.0
2020,BAL,PHI,6,Sun,1:00PM,0,21.2%,-4.0,2,-2.0,27.9,4.02,0.01999999999999957,-2.02,Too Close To Call,0,,-1.0
2020,BUF,KC,6,Mon,5:00PM,1,7.1%,-4.5,-9,-13.5,-15.1,-1.12,-5.62,-7.88,"[[32.0, 3.0], [-0.5, -29.5]]",1,KC,1.0
2020,CAR,CHI,6,Sun,1:00PM,1,-8.8%,-1.5,-7,-8.5,-4.700000000000001,1.19,-0.31000000000000005,-8.19,Too Close To Call,0,,1.0
2020,CHI,CAR,6,Sun,1:00PM,0,-4.1%,4.0,7,11.0,4.700000000000001,-1.19,2.81,8.19,"[[32.0, 3.0], [-0.5, -29.5]]",1,CHI,1.0
2020,CIN,IND,6,Sun,1:00PM,0,-16.4%,7.0,-4,3.0,-29.5,-8.54,-1.5399999999999991,4.539999999999999,"[[39.0, 10.5], [7.0, -22.0]]",1,IND,-1.0
2020,CLE,PIT,6,Sun,1:00PM,0,-3.3%,-2.5,-31,-33.5,-14.8,-5.43,-7.93,-25.57,"[[36.0, 7.0], [3.5, -25.5]]",1,PIT,1.0
2020,DAL,ARI,6,Mon,8:15PM,1,-5.1%,11.0,-28,-17.0,-16.6,-1.46,9.54,-26.54,Unreliable Prediction Due To QB Injury,0,,-1.0
2020,DEN,NE,6,Sun,1:00PM,0,-16.0%,3.5,6,9.5,-15.3,-5.54,-2.04,11.54,"[[36.0, 7.5], [4.0, -25.0]]",1,NE,-1.0
2020,DET,JAX,6,Sun,1:00PM,0,-2.2%,3.0,18,21.0,-1.5000000000000002,-2.55,0.4500000000000002,20.55,Too Close To Call,0,,1.0
2020,GB,TB,6,Sun,4:25PM,0,7.3%,-6.5,-28,-34.5,-7.500000000000001,-3.86,-10.36,-24.14,"[[34.5, 5.5], [2.0, -27.0]]",1,TB,1.0
2020,IND,CIN,6,Sun,1:00PM,1,13.1%,-3.0,4,1.0,29.5,8.54,5.539999999999999,-4.539999999999999,"[[22.0, -7.0], [-10.5, -39.0]]",1,IND,1.0
2020,KC,BUF,6,Mon,5:00PM,0,22.2%,-20.0,9,-11.0,15.1,1.12,-18.88,7.88,"[[29.5, 0.5], [-3.0, -32.0]]",1,BUF,1.0
2020,LAR,SF,6,Sun,8:20PM,0,12.7%,-3.5,-8,-11.5,10.8,0.16,-3.34,-8.16,"[[30.5, 1.5], [-2.0, -31.0]]",1,SF,1.0
2020,MIA,NYJ,6,Sun,4:05PM,1,-8.4%,3.5,24,27.5,11.1,4.64,8.14,19.36,"[[26.0, -3.0], [-6.5, -35.5]]",1,MIA,1.0
2020,MIN,ATL,6,Sun,1:00PM,1,1.4%,6.5,-17,-10.5,3.1,2.9,9.4,-19.9,"[[28.0, -1.0], [-4.5, -33.5]]",1,MIN,-1.0
