Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2020,ARI,LAR,13,Sun,4:05PM,1,6.80%,2.5,-10,-7.5,-10.7,-0.14,2.36,-9.86,"[[31.0, 2.0], [-1.5, -30.5]]",1,ARI,0
2020,ATL,NO,13,Sun,1:00PM,1,-4.50%,3.0,-5,-2.0,-47.2,-8.51,-5.51,3.51,Unreliable Prediction Due To QB Injury,0,,1
2020,BAL,DAL,13,Tue,8:05PM,1,12.30%,-7.5,17,9.5,34.1,9.5,2.0,7.5,"[[21.0, -8.0], [-11.0, -40.0]]",1,BAL,1
2020,BUF,SF,13,Mon,8:15PM,0,11.90%,1.0,10,11.0,7.800000000000001,-0.5,0.5,10.5,Too Close To Call,0,,1
2020,CHI,DET,13,Sun,1:00PM,1,-3.60%,-3.0,-4,-7.0,13.000000000000002,5.05,2.05,-9.05,"[[25.5, -3.5], [-7.0, -36.0]]",1,CHI,0
2020,CIN,MIA,13,Sun,1:00PM,0,-24.40%,10.5,-12,-1.5,-37.8,-10.26,0.2400000000000002,-1.7400000000000002,Too Close To Call,0,,0
2020,CLE,TEN,13,Sun,1:00PM,0,-9.20%,4.5,6,10.5,-17.2,-5.94,-1.4400000000000004,11.940000000000001,Too Close To Call,0,,0
2020,DAL,BAL,13,Tue,8:05PM,0,-21.80%,7.5,-17,-9.5,-34.1,-9.5,-2.0,-7.5,"[[40.0, 11.0], [8.0, -21.0]]",1,BAL,1
2020,DEN,KC,13,Sun,8:20PM,0,-24.60%,13.5,-6,7.5,-51.5,-13.03,0.47000000000000064,7.029999999999999,Too Close To Call,0,,1
2020,DET,CHI,13,Sun,1:00PM,0,-16.60%,3.0,4,7.0,-13.000000000000002,-5.05,-2.05,9.05,"[[36.0, 7.0], [3.5, -25.5]]",1,CHI,0
2020,GB,PHI,13,Sun,4:25PM,1,17.10%,-9.0,14,5.0,33.8,9.44,0.4399999999999995,4.5600000000000005,Too Close To Call,0,,1
2020,HOU,IND,13,Sun,1:00PM,1,-4.30%,3.0,-6,-3.0,-20.0,-2.23,0.77,-3.77,Too Close To Call,0,,0
2020,IND,HOU,13,Sun,1:00PM,0,15.70%,-3.0,6,3.0,20.0,2.23,-0.77,3.77,Too Close To Call,0,,0
2020,JAX,MIN,13,Sun,1:00PM,0,-21.60%,10.0,-3,7.0,-24.0,-7.38,2.62,4.38,"[[38.0, 9.0], [5.5, -23.5]]",1,JAX,1
2020,KC,DEN,13,Sun,8:20PM,1,26.90%,-13.5,6,-7.5,51.5,13.03,-0.47000000000000064,-7.029999999999999,Too Close To Call,0,,1
2020,LAC,NE,13,Sun,4:25PM,1,-19.40%,-1.5,-45,-46.5,-6.399999999999999,0.82,-0.68,-45.82,Too Close To Call,0,,1
2020,LAR,ARI,13,Sun,4:05PM,0,17.50%,-2.5,10,7.5,10.7,0.14,-2.36,9.86,"[[30.5, 1.5], [-2.0, -31.0]]",1,ARI,0
2020,LV,NYJ,13,Sun,1:00PM,0,-4.00%,-7.5,3,-4.5,36.4,5.98,-1.5199999999999996,-2.9800000000000004,"[[24.5, -4.0], [-7.5, -36.5]]",1,NYJ,1
2020,MIA,CIN,13,Sun,1:00PM,1,13.40%,-10.5,12,1.5,37.8,10.26,-0.2400000000000002,1.7400000000000002,Too Close To Call,0,,0
2020,MIN,JAX,13,Sun,1:00PM,1,2.40%,-10.0,3,-7.0,24.0,7.38,-2.62,-4.38,"[[23.5, -5.5], [-9.0, -38.0]]",1,JAX,1
2020,NE,LAC,13,Sun,4:25PM,0,-13.00%,1.5,45,46.5,6.399999999999999,-0.82,0.68,45.82,Too Close To Call,0,,1
2020,NO,ATL,13,Sun,1:00PM,0,42.70%,-3.0,5,2.0,47.2,8.51,5.51,-3.51,Unreliable Prediction Due To QB Injury,0,,1
2020,NYG,SEA,13,Sun,4:05PM,0,-12.40%,10.5,5,15.5,-26.1,-7.83,2.67,12.83,Unreliable Prediction Due To QB Injury,0,,1
2020,NYJ,LV,13,Sun,1:00PM,1,-40.40%,7.5,-3,4.5,-36.4,-5.98,1.5199999999999996,2.9800000000000004,"[[36.5, 7.5], [4.0, -24.5]]",1,NYJ,1
2020,PHI,GB,13,Sun,4:25PM,0,-16.70%,9.0,-14,-5.0,-33.8,-9.44,-0.4399999999999995,-4.5600000000000005,Too Close To Call,0,,1
2020,PIT,WAS,13,Mon,5:00PM,1,30.80%,-7.0,-6,-13.0,35.5,9.79,2.789999999999999,-15.79,"[[21.0, -8.0], [-11.5, -40.5]]",1,PIT,0
2020,SEA,NYG,13,Sun,4:05PM,1,13.70%,-10.5,-5,-15.5,26.1,7.83,-2.67,-12.83,Unreliable Prediction Due To QB Injury,0,,1
2020,SF,BUF,13,Mon,8:15PM,1,4.10%,-1.0,-10,-11.0,-7.800000000000001,0.5,-0.5,-10.5,Too Close To Call,0,,1
2020,TEN,CLE,13,Sun,1:00PM,1,8.00%,-4.5,-6,-10.5,17.2,5.94,1.4400000000000004,-11.940000000000001,Too Close To Call,0,,0
2020,WAS,PIT,13,Mon,5:00PM,0,-4.70%,7.0,6,13.0,-35.5,-9.79,-2.789999999999999,15.79,"[[40.5, 11.5], [8.0, -21.0]]",1,PIT,0
