Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,DAVE,Betting Spread
ARI,LAR,13,Sun,December 6,4:05PM,1,boxscore,28,38,463,1,232,2,6.80%,5.80%,2.5
ATL,NO,13,Sun,December 6,1:00PM,1,boxscore,16,21,424,1,332,1,-4.50%,-3.10%,3.0
BAL,DAL,13,Tue,December 8,8:05PM,1,boxscore,34,17,401,1,388,1,12.30%,12.90%,-7.5
BUF,SF,13,Mon,December 7,8:15PM,0,boxscore,34,24,449,1,402,2,11.90%,10.80%,1.0
CHI,DET,13,Sun,December 6,1:00PM,1,boxscore,30,34,460,1,389,1,-3.60%,-3.30%,-3.0
CIN,MIA,13,Sun,December 6,1:00PM,0,boxscore,7,19,406,1,196,2,-24.40%,-22.60%,10.5
CLE,TEN,13,Sun,December 6,1:00PM,0,boxscore,41,35,458,1,431,3,-9.20%,-8.50%,4.5
DAL,BAL,13,Tue,December 8,8:05PM,0,boxscore,17,34,401,1,388,1,-21.80%,-19.40%,7.5
DEN,KC,13,Sun,December 6,8:20PM,0,boxscore,16,22,447,0,330,2,-24.60%,-22.10%,13.5
DET,CHI,13,Sun,December 6,1:00PM,0,boxscore,34,30,460,1,389,1,-16.60%,-13.60%,3.0
GB,PHI,13,Sun,December 6,4:25PM,1,boxscore,30,16,437,0,278,1,17.10%,14.80%,-9.0
HOU,IND,13,Sun,December 6,1:00PM,1,boxscore,20,26,371,0,398,2,-4.30%,-3.70%,3.0
IND,HOU,13,Sun,December 6,1:00PM,0,boxscore,26,20,371,0,398,2,15.70%,14.40%,-3.0
JAX,MIN,13,Sun,December 6,1:00PM,0,boxscore,24,27,420,2,390,4,-21.60%,-19.70%,10.0
KC,DEN,13,Sun,December 6,8:20PM,1,boxscore,22,16,447,0,330,2,26.90%,26.00%,-13.5
LAC,NE,13,Sun,December 6,4:25PM,1,boxscore,0,45,291,0,258,2,-19.40%,-16.50%,-1.5
LAR,ARI,13,Sun,December 6,4:05PM,0,boxscore,38,28,463,1,232,2,17.50%,15.70%,-2.5
LV,NYJ,13,Sun,December 6,1:00PM,0,boxscore,31,28,440,2,376,3,-4.00%,-3.90%,-7.5
MIA,CIN,13,Sun,December 6,1:00PM,1,boxscore,19,7,406,1,196,2,13.40%,8.00%,-10.5
MIN,JAX,13,Sun,December 6,1:00PM,1,boxscore,27,24,420,2,390,4,2.40%,1.90%,-10.0
NE,LAC,13,Sun,December 6,4:25PM,0,boxscore,45,0,291,0,258,2,-13.00%,-10.90%,1.5
NO,ATL,13,Sun,December 6,1:00PM,0,boxscore,21,16,424,1,332,1,42.70%,38.60%,-3.0
NYG,SEA,13,Sun,December 6,4:05PM,0,boxscore,17,12,290,1,327,2,-12.40%,-11.40%,10.5
NYJ,LV,13,Sun,December 6,1:00PM,1,boxscore,28,31,440,2,376,3,-40.40%,-35.70%,7.5
PHI,GB,13,Sun,December 6,4:25PM,0,boxscore,16,30,437,0,278,1,-16.70%,-13.00%,9.0
PIT,WAS,13,Mon,December 7,5:00PM,1,boxscore,17,23,318,0,326,1,30.80%,25.50%,-7.0
SEA,NYG,13,Sun,December 6,4:05PM,1,boxscore,12,17,290,1,327,2,13.70%,12.90%,-10.5
SF,BUF,13,Mon,December 7,8:15PM,1,boxscore,24,34,449,1,402,2,4.10%,3.50%,-1.0
TEN,CLE,13,Sun,December 6,1:00PM,1,boxscore,35,41,458,1,431,3,8.00%,7.50%,-4.5
WAS,PIT,13,Mon,December 7,5:00PM,0,boxscore,23,17,318,0,326,1,-4.70%,-6.80%,7.0
