Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,DAVE,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2020,ARI,NYG,14,Sun,1:00PM,0,2.00%,1.90%,-2.5,0,-2.5,10.6,0.12,-2.38,-0.12,"[[30.5, 1.5], [-2.0, -31.0]]",1,NYG,
2020,ATL,LAC,14,Sun,4:25PM,0,-3.50%,-3.00%,-1.0,0,-1.0,25.4,3.45,2.45,-3.45,"[[27.0, -1.5], [-5.0, -34.0]]",1,ATL,
2020,BAL,CLE,14,Mon,8:15PM,0,8.50%,8.70%,-3.0,0,-3.0,11.5,0.32,-2.68,-0.32,"[[30.5, 1.5], [-2.0, -31.0]]",1,CLE,
2020,BUF,PIT,14,Sun,8:20PM,1,16.70%,15.90%,-2.0,0,-2.0,-10.400000000000002,-0.07,-2.07,0.07,"[[31.0, 2.0], [-1.5, -30.5]]",1,PIT,
2020,CAR,DEN,14,Sun,1:00PM,1,-1.30%,-2.10%,-3.5,0,-3.5,21.8,6.92,3.42,-6.92,"[[24.0, -5.0], [-8.5, -37.5]]",1,CAR,
2020,CHI,HOU,14,Sun,1:00PM,1,-4.40%,-4.20%,2.0,0,2.0,1.5,2.55,4.55,-2.55,"[[28.0, -1.0], [-4.5, -33.0]]",1,CHI,
2020,CIN,DAL,14,Sun,1:00PM,1,-27.10%,-26.20%,3.0,0,3.0,-4.5,1.23,4.23,-1.23,Unreliable Prediction Due To QB Injury,0,,
2020,CLE,BAL,14,Mon,8:15PM,1,-3.00%,-3.20%,3.0,0,3.0,-11.5,-0.32,2.68,0.32,"[[31.0, 2.0], [-1.5, -30.5]]",1,CLE,
2020,DAL,CIN,14,Sun,1:00PM,0,-22.60%,-21.10%,-3.0,0,-3.0,4.5,-1.23,-4.23,1.23,Unreliable Prediction Due To QB Injury,0,,
2020,DEN,CAR,14,Sun,1:00PM,0,-23.10%,-22.10%,3.5,0,3.5,-21.8,-6.92,-3.42,6.92,"[[37.5, 8.5], [5.0, -24.0]]",1,CAR,
2020,DET,GB,14,Sun,4:25PM,1,-15.80%,-14.60%,8.0,0,8.0,-36.1,-5.91,2.09,5.91,"[[36.5, 7.5], [4.0, -25.0]]",1,DET,
2020,GB,DET,14,Sun,4:25PM,0,20.30%,19.10%,-8.0,0,-8.0,36.1,5.91,-2.09,-5.91,"[[25.0, -4.0], [-7.5, -36.5]]",1,DET,
2020,HOU,CHI,14,Sun,1:00PM,0,-5.90%,-5.60%,-2.0,0,-2.0,-1.5,-2.55,-4.55,2.55,"[[33.0, 4.5], [1.0, -28.0]]",1,CHI,
2020,IND,LV,14,Sun,4:05PM,0,15.80%,15.20%,-3.0,0,-3.0,21.200000000000003,2.5,-0.5,-2.5,Too Close To Call,0,,
2020,JAX,TEN,14,Sun,1:00PM,1,-19.70%,-19.00%,7.5,0,7.5,-24.299999999999997,-3.2,4.3,3.2,"[[34.0, 5.0], [1.5, -27.5]]",1,JAX,
2020,KC,MIA,14,Sun,1:00PM,0,28.20%,27.80%,-7.0,0,-7.0,13.1,0.67,-6.33,-0.67,"[[30.0, 1.0], [-2.5, -31.5]]",1,MIA,
2020,LAC,ATL,14,Sun,4:25PM,1,-28.90%,-26.90%,1.0,0,1.0,-25.4,-3.45,-2.45,3.45,"[[34.0, 5.0], [1.5, -27.0]]",1,ATL,
2020,LAR,NE,14,Thu,8:20PM,1,20.40%,19.40%,-5.0,21,16.0,25.2,7.64,2.6399999999999997,13.36,"[[23.0, -6.0], [-9.5, -38.5]]",1,LAR,1
2020,LV,IND,14,Sun,4:05PM,1,-5.40%,-5.30%,3.0,0,3.0,-21.200000000000003,-2.5,0.5,2.5,Too Close To Call,0,,
2020,MIA,KC,14,Sun,1:00PM,1,15.10%,12.60%,7.0,0,7.0,-13.1,-0.67,6.33,0.67,"[[31.5, 2.5], [-1.0, -30.0]]",1,MIA,
2020,MIN,TB,14,Sun,1:00PM,0,-2.40%,-2.30%,7.0,0,7.0,-25.4,-7.68,-0.6799999999999997,7.68,Too Close To Call,0,,
2020,NE,LAR,14,Thu,8:20PM,0,-4.80%,-4.40%,5.0,-21,-16.0,-25.2,-7.64,-2.6399999999999997,-13.36,"[[38.5, 9.5], [6.0, -23.0]]",1,LAR,1
2020,NO,PHI,14,Sun,4:25PM,0,38.20%,36.70%,-7.5,0,-7.5,53.800000000000004,10.09,2.59,-10.09,Unreliable Prediction Due To QB Injury,0,,
2020,NYG,ARI,14,Sun,1:00PM,1,-8.60%,-8.40%,2.5,0,2.5,-10.6,-0.12,2.38,0.12,"[[31.0, 2.0], [-1.5, -30.5]]",1,NYG,
2020,NYJ,SEA,14,Sun,4:05PM,0,-32.90%,-31.40%,14.5,0,14.5,-41.9,-11.1,3.4000000000000004,11.1,"[[42.0, 13.0], [9.5, -19.5]]",1,NYJ,
2020,PHI,NO,14,Sun,4:25PM,1,-15.60%,-14.10%,7.5,0,7.5,-53.800000000000004,-10.09,-2.59,10.09,Unreliable Prediction Due To QB Injury,0,,
2020,PIT,BUF,14,Sun,8:20PM,0,27.10%,25.80%,2.0,0,2.0,10.400000000000002,0.07,2.07,-0.07,"[[30.5, 1.5], [-2.0, -31.0]]",1,PIT,
2020,SEA,NYJ,14,Sun,4:05PM,1,9.00%,9.00%,-14.5,0,-14.5,41.9,11.1,-3.4000000000000004,-11.1,"[[19.5, -9.5], [-13.0, -42.0]]",1,NYJ,
2020,SF,WAS,14,Sun,4:25PM,1,0.80%,0.80%,-3.0,0,-3.0,0.8,2.4,-0.6000000000000001,-2.4,Too Close To Call,0,,
2020,TB,MIN,14,Sun,1:00PM,1,23.00%,22.00%,-7.0,0,-7.0,25.4,7.68,0.6799999999999997,-7.68,Too Close To Call,0,,
2020,TEN,JAX,14,Sun,1:00PM,0,4.60%,4.60%,-7.5,0,-7.5,24.299999999999997,3.2,-4.3,-3.2,"[[27.5, -1.5], [-5.0, -34.0]]",1,JAX,
2020,WAS,SF,14,Sun,4:25PM,0,0.00%,-1.30%,3.0,0,3.0,-0.8,-2.4,0.6000000000000001,2.4,Too Close To Call,0,,
