TEAM,Total DVOA Rank,Total DVOA,Prev. Week Rank,W-L,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Past Schedule Rank,Past Schedule,Future Schedule Rank,Future Schedule,Variance Rank,Variance
NO,1,34.30%,1,02-Oct,1,38.20%,1,36.70%,8,10.30%,2,-20.80%,7,3.10%,2,9.1,2,35.40%,20,-0.50%,13,1.30%,27,18.50%
PIT,2,26.40%,2,01-Nov,3,27.10%,3,25.80%,17,0.00%,1,-24.80%,12,1.50%,3,9.1,1,37.60%,31,-8.40%,16,-1.40%,9,7.70%
TB,3,26.10%,3,05-Jul,4,23.00%,4,22.00%,6,11.50%,3,-16.00%,24,-1.40%,4,8.9,4,22.90%,3,5.30%,30,-6.30%,32,24.90%
KC,4,25.70%,4,01-Nov,2,28.20%,2,27.80%,1,30.90%,18,4.30%,20,-0.90%,1,9.9,3,28.10%,30,-5.60%,8,4.50%,2,3.70%
GB,5,19.50%,5,03-Sep,6,20.30%,6,19.10%,2,28.30%,20,5.90%,26,-2.90%,7,7.8,8,19.40%,14,0.90%,24,-3.40%,17,12.10%
LAR,6,18.60%,6,04-Aug,5,20.40%,5,19.40%,4,12.80%,5,-13.20%,30,-7.40%,6,8,6,19.70%,12,1.00%,29,-6.10%,18,12.70%
IND,7,16.00%,7,04-Aug,8,15.80%,8,15.20%,16,0.50%,6,-12.50%,8,2.90%,8,7.5,7,19.50%,29,-5.60%,14,-0.70%,13,8.60%
BAL,8,14.50%,8,05-Jul,11,8.50%,11,8.70%,21,-3.50%,7,-9.80%,2,8.10%,12,6.7,9,14.40%,11,1.20%,32,-16.70%,20,13.00%
BUF,9,12.70%,11,03-Sep,7,16.70%,7,15.90%,7,11.00%,16,1.80%,5,3.50%,5,8.2,10,12.70%,26,-1.80%,11,2.90%,16,11.90%
MIA,10,12.50%,10,04-Aug,9,15.10%,9,12.60%,19,-0.40%,11,-3.80%,1,9.10%,10,6.8,5,20.50%,32,-9.80%,5,7.30%,24,15.00%
SEA,11,11.60%,9,04-Aug,10,9.00%,10,9.00%,5,12.10%,22,7.30%,4,6.80%,9,7.5,11,12.30%,24,-0.80%,26,-4.20%,7,6.30%
TEN,12,5.20%,12,04-Aug,12,4.60%,12,4.60%,3,21.50%,28,10.30%,29,-6.00%,11,6.7,12,7.80%,17,-0.10%,28,-4.60%,14,9.50%
ARI,13,3.00%,13,06-Jun,13,2.00%,13,1.90%,11,2.40%,12,-3.20%,25,-2.70%,13,6.2,13,7.60%,22,-0.70%,21,-2.20%,10,7.90%
SF,14,2.10%,14,07-May,14,0.80%,14,0.80%,20,-1.10%,13,-3.10%,18,0.00%,14,6.1,19,-2.80%,4,5.20%,20,-2.20%,31,22.60%
MIN,15,-1.20%,15,06-Jun,17,-2.40%,17,-2.30%,13,2.30%,9,-5.00%,31,-8.50%,15,6.1,18,-2.70%,16,0.20%,3,10.80%,12,8.30%
CAR,16,-1.80%,16,08-Apr,16,-1.30%,16,-2.10%,10,5.30%,25,7.90%,15,0.80%,20,5.3,20,-2.80%,5,4.90%,6,7.10%,6,6.10%
WAS,17,-3.50%,21,07-May,15,0.00%,15,-1.30%,28,-17.70%,4,-14.00%,17,0.20%,16,6,14,1.20%,28,-5.50%,17,-1.50%,19,12.90%
LV,18,-4.10%,18,05-Jul,22,-5.40%,22,-5.30%,14,2.30%,24,7.90%,11,1.60%,19,5.5,22,-7.70%,9,2.20%,27,-4.20%,21,13.30%
CHI,19,-4.30%,19,07-May,20,-4.40%,20,-4.20%,27,-15.00%,8,-8.90%,10,1.80%,21,5.1,23,-8.00%,2,6.10%,19,-1.70%,1,3.40%
HOU,20,-4.70%,17,08-Apr,23,-5.90%,23,-5.60%,9,5.30%,27,9.00%,21,-1.00%,25,4.6,21,-3.90%,6,3.40%,23,-2.70%,4,5.10%
NE,21,-5.10%,23,06-Jun,21,-4.80%,21,-4.40%,23,-5.20%,23,7.90%,3,8.00%,18,5.5,16,-1.20%,21,-0.50%,12,2.50%,30,22.20%
ATL,22,-5.60%,20,08-Apr,19,-3.50%,18,-3.00%,22,-5.10%,14,-0.80%,22,-1.30%,23,4.9,17,-2.50%,7,2.60%,1,13.60%,8,7.40%
CLE,23,-6.80%,22,03-Sep,18,-3.00%,19,-3.20%,12,2.40%,19,5.40%,27,-3.80%,17,5.7,15,0.80%,27,-5.30%,15,-1.20%,29,21.80%
NYG,24,-12.00%,25,07-May,24,-8.60%,24,-8.40%,26,-12.60%,17,2.30%,9,2.90%,22,5,24,-12.10%,23,-0.80%,22,-2.30%,11,8.20%
DET,25,-12.70%,24,07-May,26,-15.80%,26,-14.60%,15,1.20%,32,13.50%,19,-0.40%,24,4.7,26,-14.70%,8,2.30%,2,12.40%,22,13.50%
PHI,26,-17.60%,27,2003-08-01,25,-15.60%,25,-14.10%,29,-18.30%,15,0.20%,14,0.90%,29,3.4,25,-14.00%,13,0.90%,10,3.40%,3,3.90%
DAL,27,-20.00%,28,09-Mar,28,-22.60%,28,-21.10%,25,-10.10%,30,11.00%,13,1.10%,28,3.9,29,-24.50%,10,2.00%,31,-13.80%,26,16.60%
JAX,28,-20.30%,29,11-Jan,27,-19.70%,27,-19.00%,24,-8.10%,31,12.70%,16,0.50%,26,4,27,-19.40%,18,-0.10%,4,7.90%,28,19.50%
DEN,29,-22.00%,30,08-Apr,29,-23.10%,29,-22.10%,32,-25.10%,10,-4.50%,23,-1.40%,27,3.9,30,-25.90%,1,7.00%,25,-4.10%,23,14.20%
LAC,30,-23.40%,26,09-Mar,31,-28.90%,31,-26.90%,18,0.00%,26,8.10%,32,-15.30%,30,2.6,28,-19.60%,19,-0.30%,18,-1.50%,15,10.70%
CIN,31,-27.60%,31,2002-09-01,30,-27.10%,30,-26.20%,30,-20.00%,29,11.00%,6,3.50%,31,2.5,31,-28.50%,25,-1.30%,9,4.00%,5,5.50%
NYJ,32,-33.80%,32,0-12,32,-32.90%,32,-31.40%,31,-22.50%,21,7.00%,28,-4.30%,32,2,32,-39.70%,15,0.70%,7,4.60%,25,16.00%
