Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,NYG,14,Sun,December 13,1:00PM,0,boxscore,26,7,390,0,159,3,2.00%,-3.0
ATL,LAC,14,Sun,December 13,4:25PM,0,boxscore,17,20,345,1,319,3,-3.50%,1.5
BAL,CLE,14,Mon,December 14,8:15PM,0,boxscore,47,42,385,0,493,1,8.50%,-3.0
BUF,PIT,14,Sun,December 13,8:20PM,1,boxscore,26,15,334,2,224,2,16.70%,-2.0
CAR,DEN,14,Sun,December 13,1:00PM,1,boxscore,27,32,365,1,370,0,-1.30%,-4.0
CHI,HOU,14,Sun,December 13,1:00PM,1,boxscore,36,7,410,0,263,2,-4.40%,1.0
CIN,DAL,14,Sun,December 13,1:00PM,1,boxscore,7,30,272,0,309,3,-27.10%,3.0
CLE,BAL,14,Mon,December 14,8:15PM,1,boxscore,42,47,385,0,493,1,-3.00%,3.0
DAL,CIN,14,Sun,December 13,1:00PM,0,boxscore,30,7,272,0,309,3,-22.60%,-3.0
DEN,CAR,14,Sun,December 13,1:00PM,0,boxscore,32,27,365,1,370,0,-23.10%,4.0
DET,GB,14,Sun,December 13,4:25PM,1,boxscore,24,31,410,0,293,0,-15.80%,9.0
GB,DET,14,Sun,December 13,4:25PM,0,boxscore,31,24,410,0,293,0,20.30%,-9.0
HOU,CHI,14,Sun,December 13,1:00PM,0,boxscore,7,36,410,0,263,2,-5.90%,-1.0
IND,LV,14,Sun,December 13,4:05PM,0,boxscore,44,27,456,0,424,3,15.80%,-2.5
JAX,TEN,14,Sun,December 13,1:00PM,1,boxscore,10,31,454,1,354,1,-19.70%,7.5
KC,MIA,14,Sun,December 13,1:00PM,0,boxscore,33,27,448,4,367,1,28.20%,-7.0
LAC,ATL,14,Sun,December 13,4:25PM,1,boxscore,20,17,345,1,319,3,-28.90%,-1.5
LAR,NE,14,Thu,December 10,8:20PM,1,boxscore,24,3,318,1,220,1,20.40%,-5.0
LV,IND,14,Sun,December 13,4:05PM,1,boxscore,27,44,456,0,424,3,-5.40%,2.5
MIA,KC,14,Sun,December 13,1:00PM,1,boxscore,27,33,448,4,367,1,15.10%,7.0
MIN,TB,14,Sun,December 13,1:00PM,0,boxscore,14,26,303,0,335,1,-2.40%,7.0
NE,LAR,14,Thu,December 10,8:20PM,0,boxscore,3,24,318,1,220,1,-4.80%,5.0
NO,PHI,14,Sun,December 13,4:25PM,0,boxscore,21,24,413,1,358,2,38.20%,-7.5
NYG,ARI,14,Sun,December 13,1:00PM,1,boxscore,7,26,390,0,159,3,-8.60%,3.0
NYJ,SEA,14,Sun,December 13,4:05PM,0,boxscore,3,40,410,1,185,1,-32.90%,16.5
PHI,NO,14,Sun,December 13,4:25PM,1,boxscore,24,21,413,1,358,2,-15.60%,7.5
PIT,BUF,14,Sun,December 13,8:20PM,0,boxscore,15,26,334,2,224,2,27.10%,2.0
SEA,NYJ,14,Sun,December 13,4:05PM,1,boxscore,40,3,410,1,185,1,9.00%,-16.5
SF,WAS,14,Sun,December 13,4:25PM,1,boxscore,15,23,193,1,344,3,0.80%,-3.0
TB,MIN,14,Sun,December 13,1:00PM,1,boxscore,26,14,303,0,335,1,23.00%,-7.0
TEN,JAX,14,Sun,December 13,1:00PM,0,boxscore,31,10,454,1,354,1,4.60%,-7.5
WAS,SF,14,Sun,December 13,4:25PM,0,boxscore,23,15,193,1,344,3,0.00%,3.0
