Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2020,ARI,NYG,14,Sun,1:00PM,0,2.00%,-2.0,0,-2.0,10.6,0.12,-1.88,-0.12,"[[3.5, 1.5], [-1.5, -4.0]]",1,NYG,
2020,ATL,LAC,14,Sun,4:25PM,0,-3.50%,-2.5,0,-2.5,25.4,3.45,0.9500000000000002,-3.45,Too Close To Call,0,,
2020,BAL,CLE,14,Mon,8:15PM,0,8.50%,-1.0,0,-1.0,11.5,0.32,-0.6799999999999999,-0.32,Too Close To Call,0,,
2020,BUF,PIT,14,Sun,8:20PM,1,16.70%,-2.5,0,-2.5,-10.400000000000002,-0.07,-2.57,0.07,"[[4.0, 1.5], [-1.5, -3.5]]",1,PIT,
2020,CAR,DEN,14,Sun,1:00PM,1,-1.30%,-3.5,0,-3.5,21.8,6.92,3.42,-6.92,"[[-3.0, -5.5], [-8.5, -10.5]]",1,CAR,
2020,CHI,HOU,14,Sun,1:00PM,1,-4.40%,1.0,0,1.0,1.5,2.55,3.55,-2.55,"[[1.0, -1.0], [-4.0, -6.0]]",1,CHI,
2020,CIN,DAL,14,Sun,1:00PM,1,-27.10%,3.5,0,3.5,-4.5,1.23,4.73,-1.23,Missing Something ...,0,,
2020,CLE,BAL,14,Mon,8:15PM,1,-3.00%,1.0,0,1.0,-11.5,-0.32,0.6799999999999999,0.32,Too Close To Call,0,,
2020,DAL,CIN,14,Sun,1:00PM,0,-22.60%,-3.5,0,-3.5,4.5,-1.23,-4.73,1.23,Missing Something ...,0,,
2020,DEN,CAR,14,Sun,1:00PM,0,-23.10%,3.5,0,3.5,-21.8,-6.92,-3.42,6.92,"[[10.5, 8.5], [5.5, 3.0]]",1,CAR,
2020,DET,GB,14,Sun,4:25PM,1,-15.80%,7.5,0,7.5,-36.1,-5.91,1.5899999999999999,5.91,"[[9.5, 7.5], [4.5, 2.0]]",1,DET,
2020,GB,DET,14,Sun,4:25PM,0,20.30%,-7.5,0,-7.5,36.1,5.91,-1.5899999999999999,-5.91,"[[-2.0, -4.5], [-7.5, -9.5]]",1,DET,
2020,HOU,CHI,14,Sun,1:00PM,0,-5.90%,-1.0,0,-1.0,-1.5,-2.55,-3.55,2.55,"[[6.0, 4.0], [1.0, -1.0]]",1,CHI,
2020,IND,LV,14,Sun,4:05PM,0,15.80%,-3.0,0,-3.0,21.200000000000003,2.5,-0.5,-2.5,Too Close To Call,0,,
2020,JAX,TEN,14,Sun,1:00PM,1,-19.70%,7.5,0,7.5,-24.299999999999997,-3.2,4.3,3.2,Missing Something ...,0,,
2020,KC,MIA,14,Sun,1:00PM,0,28.20%,-7.0,0,-7.0,13.1,0.67,-6.33,-0.67,Missing Something ...,0,,
2020,LAC,ATL,14,Sun,4:25PM,1,-28.90%,2.5,0,2.5,-25.4,-3.45,-0.9500000000000002,3.45,Too Close To Call,0,,
