Opening Spread,Team 1,Team 2,Game_Time,Betting Spread
-5.5 / +5.5,BUF,DEN,4:30,-5.5 / +5.5
+7.5 / -7.5,CAR,GB,8:15,+8.0 / -8.0
-3.0 / +3.0,SEA,WAS,1:00,-6.5 / +6.5
+6.0 / -6.0,CHI,MIN,1:00,+3.0 / -3.0
-2.5 / +2.5,SF,DAL,1:00,-3.0 / +3.0
+11.0 / -11.0,JAC,BAL,1:00,+13.0 / -13.0
+2.5 / -2.5,NE,MIA,1:00,+1.5 / -1.5
-1.5 / +1.5,TB,ATL,1:00,-6.0 / +6.0
+6.5 / -6.5,HOU,IND,1:00,+7.5 / -7.5
+8.5 / -8.5,DET,TEN,1:00,+11.5 / -11.5
+13.5 / -13.5,NYJ,LAR,4:05,+17.0 / -17.0
+6.5 / -6.5,PHI,ARI,4:05,+6.5 / -6.5
-3.0 / +3.0,KC,NO,4:25,-3.0 / +3.0
-3.0 / +3.0,CLE,NYG,8:20,-6.5 / +6.5
-11.5 / +11.5,PIT,CIN,8:15,-13.0 / +13.0
+3.5 / -3.5,LAC,LV,Final,+3.5 / -3.5
