TEAM,Total DVOA Rank,Total DVOA,Prev. Week Rank,W-L,WDVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Past Schedule Rank,Past Schedule,Future Schedule Rank,Future Schedule,Variance Rank,Variance
NO,1,28.5%,1,10-4,1,30.8%,9,7.3%,2,-17.6%,6,3.6%,4,9.7,1,29.2%,17,-0.1%,20,-3.6%,29,19.3%
TB,2,25.5%,2,9-5,4,22.3%,5,14.0%,5,-12.6%,24,-1.1%,2,10.6,3,25.0%,10,2.4%,27,-9.2%,32,22.5%
KC,3,23.4%,3,13-1,2,24.7%,1,26.4%,17,2.9%,17,0.0%,1,11.2,4,24.2%,27,-2.9%,29,-12.6%,1,3.9%
GB,4,20.0%,6,11-3,5,22.1%,2,26.1%,18,4.0%,26,-2.1%,5,9.4,6,22.0%,23,-1.6%,13,4.3%,14,10.9%
PIT,5,19.0%,4,11-3,8,17.0%,22,-6.1%,1,-23.5%,12,1.6%,9,9.1,2,27.4%,32,-7.1%,10,6.5%,22,12.6%
LAR,6,18.2%,5,9-5,6,20.3%,7,10.4%,4,-14.7%,30,-7.0%,7,9.2,7,19.9%,18,-0.5%,3,11.7%,17,11.7%
BUF,7,17.9%,7,11-3,3,23.4%,6,13.7%,14,-0.2%,5,4.0%,3,10.2,11,17.4%,21,-1.5%,15,2.6%,16,11.5%
IND,8,17.1%,10,10-4,7,17.3%,12,2.4%,6,-11.8%,7,2.9%,8,9.2,5,22.2%,30,-5.6%,19,-2.8%,8,7.6%
SEA,9,16.6%,8,10-4,9,15.4%,4,14.3%,20,4.2%,3,6.5%,6,9.3,10,17.5%,25,-2.4%,6,9.4%,5,6.4%
BAL,10,16.4%,9,9-5,12,11.6%,15,1.6%,8,-7.0%,2,7.8%,11,8.1,8,18.2%,20,-1.3%,32,-19.9%,21,12.5%
MIA,11,11.9%,11,9-5,10,14.6%,16,1.3%,11,-5.2%,4,5.3%,12,8.0,9,17.9%,31,-6.3%,11,4.7%,23,12.7%
TEN,12,9.0%,13,10-4,11,12.2%,3,23.5%,28,9.7%,29,-4.8%,10,8.3,12,14.7%,28,-3.0%,12,4.5%,11,9.6%
ARI,13,6.8%,12,8-6,13,7.1%,17,1.0%,9,-6.2%,19,-0.5%,13,7.7,13,11.0%,22,-1.6%,6,9.4%,12,9.7%
SF,14,0.6%,14,5-9,19,-4.4%,20,-4.4%,10,-5.6%,20,-0.6%,17,6.8,18,-3.7%,2,3.6%,3,11.7%,28,19.0%
CHI,15,-0.3%,15,7-7,14,1.5%,26,-11.5%,7,-8.7%,10,2.5%,18,6.7,16,-3.0%,7,3.5%,18,-2.3%,2,4.2%
WAS,16,-3.1%,16,6-8,16,-1.0%,30,-20.1%,3,-16.2%,14,0.8%,15,6.8,15,0.4%,26,-2.6%,28,-9.6%,18,11.8%
