Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD
2020,ARI,SF,16,Sat,4:30PM,1,7.1%,-5.0,0,-5.0
2020,ATL,KC,16,Sun,1:00PM,0,-2.1%,10.5,0,10.5
2020,BAL,NYG,16,Sun,1:00PM,1,11.6%,-11.0,0,-11.0
2020,BUF,NE,16,Mon,8:15PM,0,23.4%,-7.0,0,-7.0
2020,CAR,WAS,16,Sun,1:00PM,0,-3.8%,2.5,0,2.5
2020,CHI,JAX,16,Sun,1:00PM,0,1.5%,-7.5,0,-7.5
2020,CIN,HOU,16,Sun,1:00PM,0,-23.1%,8.0,0,8.0
2020,CLE,NYJ,16,Sun,1:00PM,0,0.7%,-9.5,0,-9.5
2020,DAL,PHI,16,Sun,4:25PM,1,-11.4%,2.0,0,2.0
2020,DEN,LAC,16,Sun,4:05PM,0,-24.5%,3.0,0,3.0
2020,DET,TB,16,Sat,1:00PM,1,-18.8%,9.5,0,9.5
2020,GB,TEN,16,Sun,8:20PM,1,22.1%,-3.0,0,-3.0
2020,HOU,CIN,16,Sun,1:00PM,1,-12.8%,-8.0,0,-8.0
2020,IND,PIT,16,Sun,1:00PM,0,17.3%,-1.5,0,-1.5
2020,JAX,CHI,16,Sun,1:00PM,1,-26.6%,7.5,0,7.5
2020,KC,ATL,16,Sun,1:00PM,1,24.7%,-10.5,0,-10.5
2020,LAC,DEN,16,Sun,4:05PM,1,-24.8%,-3.0,0,-3.0
2020,LAR,SEA,16,Sun,4:25PM,0,20.3%,1.5,0,1.5
2020,LV,MIA,16,Sat,8:15PM,1,-10.0%,3.0,0,3.0
2020,MIA,LV,16,Sat,8:15PM,0,14.6%,-3.0,0,-3.0
2020,MIN,NO,16,Fri,4:30PM,0,-6.7%,7.0,0,7.0
2020,NE,BUF,16,Mon,8:15PM,1,-5.1%,7.0,0,7.0
2020,NO,MIN,16,Fri,4:30PM,1,30.8%,-7.0,0,-7.0
2020,NYG,BAL,16,Sun,1:00PM,0,-13.5%,11.0,0,11.0
2020,NYJ,CLE,16,Sun,1:00PM,1,-31.2%,9.5,0,9.5
2020,PHI,DAL,16,Sun,4:25PM,0,-12.8%,-2.0,0,-2.0
2020,PIT,IND,16,Sun,1:00PM,1,17.0%,1.5,0,1.5
2020,SEA,LAR,16,Sun,4:25PM,1,15.4%,-1.5,0,-1.5
2020,SF,ARI,16,Sat,4:30PM,0,-4.4%,5.0,0,5.0
2020,TB,DET,16,Sat,1:00PM,0,22.3%,-9.5,0,-9.5
2020,TEN,GB,16,Sun,8:20PM,0,12.2%,3.0,0,3.0
2020,WAS,CAR,16,Sun,1:00PM,1,-1.0%,-2.5,0,-2.5
